puzzleId,title,identifiers
4612,Laser Tag,"HSA.CED.A.4,HSA.REI.A.2"
1000,The Length of Larry's Rectangle,"HSA.SSE.B.3.a,HSA.SSE.B.3.b,HSA.CED.A.1"
4600,Let it Snow!,"8.EE.C.7,HSA.CED.A.1,HSA.CED.A.3"
652,Lettuce for Sale,"8.EE.C.7,HSA.CED.A.1,HSA.SSE.B.3"
17034,Line Logic,"8.EE.C.7,HSA.REI.B.3"
3160,Lost in Mathland,"HSA.CED.A.3,HSA.CED.A.4,HSA.REI.A.1"
17070,Many or Money,"8.EE.C.8.c,HSA.SSE.B.3,HSA.CED.A.2,HSA.CED.A.3"
3076,Marathon Mitch,"8.EE.C.7,HSA.CED.A.1,HSA.CED.A.3,HSA.REI.B.3"
4036,Math Club Mystery,"HSA.REI.B.3,HSA.REI.C.6"
2968,Mind Reading,"8.EE.C.7,HSA.SSE.A.2,HSA.CED.A.1"
2752,My Three Dogs,"8.EE.C.8.b,HSA.REI.A.1,HSA.REI.C.6"
2956,Operation Warm Up,"7.EE.A.1,7.EE.B.3,HSA.SSE.A.1.a"
544,Perfect Apples,"7.EE.B.3,HSA.REI.A.1"
3280,A Phone-y Deal,"HSA.CED.A.1,HSA.CED.A.3"
4588,Pizza Puzzle,"HSA.CED.A.1,HSA.CED.A.3"
5272,Polynomial Power,"HSA.SSE.B.3,HSA.APR.A.1"
3412,Poolish Pride?,"HSA.CED.A.3,HSA.CED.A.4,HSA.REI.A.1"
3124,Pressed for Time,"8.EE.C.7,HSA.CED.A.1,HSA.CED.A.3"
16987,Ration Ratios,"8.EE.C.7,HSA.SSE.A.2,HSA.CED.A.1"
1972,Ships Ahoy!,"8.EE.C.7,HSA.CED.A.1"
5128,Sierpinski's Stages,"8.EE.C.7,HSA.SSE.B.4,HSA.CED.A.1,HSA.REI.A.1"
5200,A Slippery Slope,"6.EE.B.5,HSA.CED.A.1,HSA.CED.A.3"
3928,Splash!,"8.EE.C.7,HSA.CED.A.1,HSA.CED.A.2,HSA.REI.A.1,HSA.REI.B.3"
2020,Splitting a Square,"HSA.CED.A.2,HSA.REI.B.3"
3244,A Surprising Sequence,"HSA.CED.A.1,HSA.SSE.B.3"
1720,Susita's Savings Account,"8.EE.C.7,HSA.CED.A.1"
5248,Swapping Marbles,"8.EE.C.7,HSA.CED.A.3,HSA.CED.A.4"
5212,Symbol Logic,"6.EE.B.5,HSA.CED.A.1,HSA.CED.A.3"
16011,Take Me Out to the Ballgame,"7.RP.A.1,7.RP.A.2,HSA.CED.A.1,HSA.CED.A.2,HSA.REI.C.5"
4636,Teeter Trio,"HSA.CED.A.1,HSA.CED.A.4"
4660,Teeter Troop,"8.EE.C.8.c,HSA.CED.A.2,HSA.CED.A.3,HSA.REI.C.6"
4552,Teeter-Toddlers,"8.EE.C.7,HSA.CED.A.1"
616,Tennis Anyone?,"8.EE.C.7,HSA.CED.A.1"
