puzzleId,title,identifiers
1753,What a Move!,"3.OA.C.7,3.NBT.A.2,4.NBT.B.4,4.MD.A.2,5.NBT.B.6"
1957,March Madness!,"3.OA.C.7,3.NBT.A.2,4.NBT.B.4,4.OA.A.3,5.OA.A.2"
1789,The Big Balloon Blowup,"3.OA.C.7,3.NBT.A.2,4.NBT.B.4,5.NBT.B.6"
3943,The Kickball Tournament,"3.OA.C.7,3.NBT.A.2,4.NBT.B.6,4.OA.A.3,5.OA.A.2"
1513,Volunteering at the Food Bank,"3.OA.C.7,3.NBT.A.3,4.NBT.B.5,5.NBT.A.2,5.NBT.B.6"
5263,Sharing Birthdays,"3.OA.C.7,3.OA.D.8,4.OA.A.3,4.OA.B.4,4.OA.A.3,5.OA.A.2"
4675,Siblings,"3.OA.C.7,3.OA.D.8,4.OA.A.3,5.OA.A.2"
5203,Change You Can't Count On,"3.OA.C.7,4.MD.A.2,4.OA.A.3,5.OA.A.2"
1849,Lunch Bunch Budgets,"3.OA.C.7,4.MD.A.2,4.OA.A.3,5.OA.A.2"
5227,The Farmer in the Dilemma,"3.OA.C.7,4.MD.A.2,4.OA.A.3,5.OA.A.2"
4496,Back-to-School Shopping,"3.OA.C.7,4.MD.A.2,5.NBT.B.7"
2983,I Like to Palindrive!,"3.OA.C.7,4.NBT.A.1,4.NBT.A.2,5.NBT.A.1"
3775,Odds vs. Evens,"3.OA.C.7,4.NBT.B.5,4.NF.B.4,5.NF.B.4,5.NF.B.6"
3067,Taking Tolls,"3.OA.C.7,4.NBT.B.5,4.OA.A.3,5.OA.A.2"
3415,Zelma's ZIP Code,"3.OA.C.7,4.NBT.B.5,4.OA.A.3,5.OA.A.2"
3919,Golden Gate Bridge,"3.OA.C.7,4.NBT.B.5,5.NBT.B.5"
949,Sacagawea Cheerios,"3.OA.C.7,4.NBT.B.5,5.NBT.B.6"
3151,So Many Salmon,"3.OA.C.7,4.NBT.B.5,5.NBT.B.6"
3091,Elizabeth's Cookies,"3.OA.C.7,4.NBT.B.5,5.NBT.B.6,5.NF.B"
3631,Common Cents,"3.OA.C.7,4.NBT.B.6,4.MD.A.2,4.OA.A.3,5.OA.A.2"
854,Inching Along Down the Football Field,"3.OA.C.7,4.NBT.B.6,4.OA.A.3,5.OA.A.2"
314,A Simple Reversal,"3.OA.C.7,4.OA.A.3,5.OA.A.2"
2719,Elevator Weigh-in,"3.OA.C.7,4.OA.A.3,5.OA.A.2"
409,Expressions of One Hundred,"3.OA.C.7,4.OA.A.3,5.OA.A.2"
901,Hot Dog Day!,"3.OA.C.7,4.OA.A.3,5.OA.A.2"
3139,More Recess,"3.OA.C.7,4.OA.A.3,5.OA.A.2"
4723,Something Fishy,"3.OA.C.7,4.OA.A.3,5.OA.A.2"
4063,The Math of the Irish,"3.OA.C.7,4.OA.A.3,5.OA.A.2"
3007,Zoo Trip,"3.OA.C.7,4.OA.A.3,5.OA.A.2"
1345,Anderson's Pumpkin Patch,"3.OA.C.7,4.OA.B.4,4.OA.A.3,5.OA.A.2"
4699,Crossing the River with Ogres,"3.OA.C.7,4.OA.C.5,4.OA.A.3,5.OA.A.2"
5143,Growing Worms,"3.OA.C.7,4.OA.C.5,4.OA.A.3,5.OA.A.2"
517,Mystery Numbers,"3.OA.C.7,4.OA.C.5,4.OA.A.3,5.OA.A.2"
4651,The Teddy Bears' Banquet,"3.OA.C.7,4.OA.C.5,4.OA.A.3,5.OA.A.2"
1933,Water Park Adventure,"3.OA.C.7,5.NBT.B.6"
1561,A Million in Time,"3.OA.C.7,5.NBT.B.6"
4507,Eating Grapes,"3.OA.D,4.OA,7.EE.B.4"
3055,Birthday Trip,"3.OA.D.8,3.G.A.2,4.OA.A.3,5.OA.A.2"
2912,Timber!,"3.OA.D.8,3.G.A.2,4.OA.A.3,5.OA.A.2,8.G.B.7"
4075,Darlene's Dart Board,"3.OA.D.8,3.NBT.A.2,4.OA.A.3,4.NBT.B.4,5.OA.A.2"
17023,How Old is Mia?,"3.OA.D.8,4.OA.A.3,4.NF.B.4.c,5.NF.A.2,5.NF.B.4.a"
5275,Zoo Train,"3.OA.D.8,4.OA.A.3,4.OA.C.5,5.OA.A.2"
4519,Baseball Cards,"3.OA.D.8,4.OA.A.3,5.OA.A.2"
1093,Birthday Beach Bash,"3.OA.D.8,4.OA.A.3,5.OA.A.2"
673,Cat Walk,"3.OA.D.8,4.OA.A.3,5.OA.A.2"
4603,Chelsea's Number Puzzle,"3.OA.D.8,4.OA.A.3,5.OA.A.2"
4543,Counting Cats and Dogs,"3.OA.D.8,4.OA.A.3,5.OA.A.2"
2827,"Cupcakes, Cupcakes!","3.OA.D.8,4.OA.A.3,5.OA.A.2"
